圖幅編號,人孔編號,X坐標,Y坐標,主集水區名稱,行政區,行政里,道路名稱,人孔蓋型式,人孔種類,箱涵屬性,使用狀態,資料狀態,人孔深度,人孔尺寸長度,人孔尺寸寬度,人孔頂標高,人孔頂路面寬,地盤標高
4737,'4737-30',308653.309,2766146.233,木5-1排水系統,文山區,博嘉里,木柵路5段8335-10-21巷旁(抽水站電箱管制器),圓形,正常人孔,無,使用,實測,3.76,2.51,2.51,22.47,20,22.47
4737,'4737-F3',308652.913,2766141.249,木5-1排水系統,文山區,博嘉里,木柵路5段8335-10-21巷旁(抽水站電箱管制器),,虛人孔,無,使用,實測,3.52,1.34,2.62,22.46,20,22.46
4737,'4737-F2',308652.181,2766141.788,木5-1排水系統,文山區,博嘉里,木柵路5段8335-10-21巷旁(抽水站電箱管制器),,虛人孔,無,使用,實測,3.52,1.34,2.62,22.47,20,22.47
4737,'4737-31',308657.674,2766132.824,木5-1排水系統,文山區,博嘉里,木柵路5段風洞石聖公廟,圓形,覆蓋人孔,無,使用,實測,5.51,3,3,22.49,20,22.69
4737,'4737-32',308648.006,2766119.163,木5-1排水系統,文山區,博嘉里,木柵路5段電感深坑幹147B7232CD11交通管制箱96-8335-0,圓形,正常人孔,無,使用,實測,5.62,3.08,3.08,22.49,20,22.49
4737,'4737-33',308614.866,2766103.278,木5-1排水系統,文山區,博嘉里,木柵路5段電桿深坑幹148B7232BC89,圓形,覆蓋人孔,無,使用,實測,4.87,3.08,3.08,21.72,20,21.92
4737,'4737-34',308569.382,2766075.32,木5-1排水系統,文山區,博嘉里,木柵路5段5號兄弟檳榔攤,圓形,正常人孔,無,使用,實測,5.54,3.08,3.08,22.19,20,22.19
4737,'4737-36',308473.755,2766017.973,木5-1排水系統,文山區,博嘉里,木柵路5段1號公車站牌,圓形,覆蓋人孔,無,使用,實測,3.52,1.19,1.57,22.99,20,23.19
4737,'4737-35',308506.406,2766035.685,木5-1排水系統,文山區,博嘉里,木柵路五段電桿深坑幹151B7232BC04,圓形,正常人孔,無,使用,實測,3.4,1.05,1.94,22.92,20,22.92
4737,'4737-37',308433.002,2766000.918,木5-1排水系統,文山區,博嘉里,木柵路5段1之6號,圓形,正常人孔,無,使用,實測,4,1.2,1.75,23.67,20,23.67
4737,'4737-38',308406.461,2765982.703,木5-1排水系統,文山區,博嘉里,木柵路5段台北市地政圖根旁1989年與消防點,圓形,覆蓋人孔,無,使用,實測,4.02,1.36,1.72,23.68,20,23.88
4737,'4737-40',308693.072,2766169.134,木5-1排水系統,文山區,博嘉里,木柵路5段15號旁巷口43巷口,圓形,正常人孔,無,使用,實測,3.4,1.42,1.35,22.07,20,22.07
4737,'4737-41',308656.024,2766147.457,木5-1排水系統,文山區,博嘉里,木柵路5段風洞石聖公廟,圓形,正常人孔,無,使用,實測,3.52,1.34,2.62,21.17,20,21.17
4737,'4737-341',308540.425,2766055.093,木5-1排水系統,文山區,博嘉里,木柵路5段電桿深坑幹151B723204,圓形,覆蓋人孔,無,使用,實測,5.3,0,1.8,22.22,20,22.42
4737,'4737-39',308723.892,2766184.116,木5-1排水系統,文山區,博嘉里,木柵路5段43巷砂石場門口,圓形,正常人孔,無,使用,實測,2.26,2.08,1.41,20.66,20,20.66
4737,'4737-R1',308540.548,2766048.888,木5-1排水系統,文山區,博嘉里,木柵路5段電桿深坑幹,,明溝,無,使用,實測,5.3,0,1.8,18.42,20,18.42
4634,'4634-F8',307661.91,2764189.64,木新抽水站系統,文山區,木新里,木新路二段79巷12弄,圓形,虛人孔,無,使用,實測,1.73,1.7,1.15,18.538,8,18.538
4634,'4634-F9',307666.56,2764228.63,木新抽水站系統,文山區,木新里,木新路二段79巷12弄,圓形,虛人孔,無,使用,實測,1.73,1.7,1.15,18.579,13.9,18.579
4634,'4634-F3',307337.33,2764386.16,木新抽水站系統,文山區,忠順里,保儀路107號左斜前方,,虛人孔,無,使用,實測,2.01,2.92,2.15,17.3,12,17.3
4634,'4634-F6',307689.56,2764417.18,木新抽水站系統,文山區,木新里,木新路二段79巷12弄,圓形,虛人孔,無,使用,實測,1.23,1.4,1.15,18.501,20,18.501
4634,'4634-F5',307698.37,2764446.22,木新抽水站系統,文山區,木新里,木新路二段79巷12弄,圓形,虛人孔,無,使用,實測,1.505,1.4,1.15,18.615,20,18.615
4634,'4634-F4',307709.69,2764468.82,木新抽水站系統,文山區,木新里,木新路二段79巷12弄,圓形,虛人孔,無,使用,實測,1.704,1.7,1.7,18.864,20,18.864
4633,'4633-02',307223.1,2763860.17,木新抽水站系統,文山區,樟腳里,恆光街30巷15號,方形,正常人孔,無,使用,實測,1.11,1.4,1,18.249,20,18.249
4633,'4633-01',307218.16,2763861.32,木新抽水站系統,文山區,樟腳里,恆光街30巷15號右前,方形,正常人孔,無,使用,實測,1.2,1.4,1.35,18.298,20,18.298
4533,'4533-F3',307165.67,2763872.625,木新抽水站系統,文山區,樟腳里,恆光街30巷20號,方形,正常人孔,無,使用,實測,1.97,1.4,1.3,18.311,20,18.311
4634,'4634-F14',307568.21,2764036.71,木新抽水站系統,文山區,木新里,木新路二段79巷12弄(停車格322右前),方形,正常人孔,無,使用,實測,1.12,1.4,1.15,18.73,20,18.73
4634,'4634-F13',307613.06,2764091.13,木新抽水站系統,文山區,木新里,木新路二段79巷12弄(停車格345),方形,正常人孔,無,使用,實測,1.35,1.4,1.25,18.775,20,18.775
4634,'4634-F12',307630.15,2764122.32,木新抽水站系統,文山區,木新里,木新路二段79巷12弄20號,方形,正常人孔,無,使用,實測,1.5,1.25,1.35,18.839,20,18.839
4634,'4634-F10',307648.26,2764161.56,木新抽水站系統,文山區,木新里,木新路二段79巷12弄16號左前,方形,正常人孔,無,使用,實測,1.73,1.7,1.15,18.76,8,18.76
4634,'4634-16',307450.45,2764196.68,木新抽水站系統,文山區,木新里,木新路二段134號,圓形,正常人孔,無,使用,實測,2,1.53,1.83,17.762,10,17.762
4534,'4534-09',307113.66,2764045.56,木新抽水站系統,文山區,順興里,木新路二段270號,圓形,正常人孔,無,使用,實測,6.6,3.6,3.65,16.895,20,16.895
4534,'4534-86',307183.98,2764160.88,木新抽水站系統,文山區,順興里,保儀路124號,圓形,正常人孔,無,使用,實測,6.3,3.6,3.5,16.949,12,16.949
4634,'4634-40',307215.17,2764206.99,木新抽水站系統,文山區,順興里,保儀路與忠順街二段交口,圓形,正常人孔,無,使用,實測,6.35,3.6,3.5,17.107,12,17.107
4634,'4634-F1',307245.12,2764249.77,木新抽水站系統,文山區,忠順里,保儀路129號,圓形,正常人孔,無,使用,實測,6.25,3.6,3.5,17.05,12,17.05
4634,'4634-42',307273.88,2764293.28,木新抽水站系統,文山區,忠順里,保儀路127號,圓形,正常人孔,無,使用,實測,6.3,3.6,3.55,17.012,12,17.012
4634,'4634-43',307224.23,2764339.13,木新抽水站系統,文山區,忠順里,保儀路119巷(國立台灣戲曲學院旁),圓形,正常人孔,無,使用,實測,6.1,3.6,3.7,16.98,10,16.98
4534,'4534-84',307187.78,2764345.68,木新抽水站系統,文山區,忠順里,保儀路119巷(國立台灣戲曲學院旁),圓形,正常人孔,無,使用,實測,6.05,3.6,3.5,17.028,10,17.028
4534,'4534-83',307073.99,2763979.75,木新抽水站系統,文山區,樟腳里,木新路二段299巷,圓形,正常人孔,無,使用,實測,4.15,1.5,2.34,16.892,9.65,16.892
4534,'4534-90',307107.24,2764026.77,木新抽水站系統,文山區,順興里,木新路二段272號,圓形,正常人孔,無,使用,實測,3.1,2,3,16.765,8,16.765
4634,'4634-03',307611.42,2764492.44,木新抽水站系統,文山區,木新里,木新路二段11號,圓形,正常人孔,無,使用,實測,4.35,1.46,1.8,21.65,20,21.65
4534,'4534-14',306891.28,2763940.73,木新抽水站系統,文山區,順興里,木新路三段69號前,圓形,正常人孔,無,使用,實測,3.55,2.2,2.12,17.239,20,17.239
4534,'4534-13',306955.28,2763957.49,木新抽水站系統,文山區,順興里,木新路三段49號前,圓形,正常人孔,無,使用,實測,3.3,2.18,2.14,17.14,20,17.14
4534,'4534-11',307110.08,2764004.48,木新抽水站系統,文山區,順興里,木新路二段285號,圓形,正常人孔,無,使用,實測,3.4,2.43,2.43,16.858,20,16.858
4534,'4534-10',307108.81,2764018.86,木新抽水站系統,文山區,順興里,木新路二段272號,圓形,正常人孔,無,使用,實測,6.6,1.96,1.9,16.855,12,16.855
4634,'4634-25',307216.43,2764048.21,木新抽水站系統,文山區,順興里,木新路二段與恆光路交口,圓形,正常人孔,無,使用,實測,2.95,2.2,2.15,17.182,25,17.182
4634,'4634-24',307289.49,2764073.29,木新抽水站系統,文山區,順興里,木新路二段221號,圓形,正常人孔,無,使用,原圖轉繪,3,2.15,2.18,17.514,20,17.514
4634,'4634-23',307417.24,2764120.13,木新抽水站系統,文山區,順興里,木新路二段163號,圓形,正常人孔,無,使用,實測,3.35,1.7,1.84,17.979,20,17.979
4634,'4634-20',307467.3,2764138,木新抽水站系統,文山區,木新里,木新路二段131號,圓形,正常人孔,無,使用,實測,3.1,1.7,1.85,18.25,20,18.25
4634,'4634-19',307462.81,2764153.81,木新抽水站系統,文山區,木新里,木新路二段128號,圓形,正常人孔,無,使用,實測,2.75,1.93,1.92,17.974,10,17.974
4634,'4634-09',307527.72,2764173.48,木新抽水站系統,文山區,木新里,木新路二段與木新路二段111巷交口,圓形,正常人孔,無,使用,實測,3.6,1.72,1.72,18.602,20,18.602
4634,'4634-17',307447.8,2764197.5,木新抽水站系統,文山區,木新里,木新路二段134號,圓形,正常人孔,無,使用,實測,2.25,1.26,1.67,17.734,10,17.734
4634,'4634-15',307459.59,2764231.28,木新抽水站系統,文山區,木新里,保儀路109巷23弄與109巷交口,圓形,正常人孔,無,使用,實測,2,1.52,1.83,17.519,9.9,17.519
4634,'4634-08',307590.84,2764256.89,木新抽水站系統,文山區,木新里,木新路二段94號,圓形,正常人孔,無,使用,實測,3.35,2.02,1.84,18.984,20,18.984
4634,'4634-14',307463.67,2764261.68,木新抽水站系統,文山區,木新里,保儀路109巷21弄與109巷交口,圓形,正常人孔,無,使用,實測,2.15,1.53,1.86,17.502,10,17.502
4634,'4634-13',307471.46,2764309.19,木新抽水站系統,文山區,木新里,保儀路109巷19號,圓形,正常人孔,無,使用,實測,2,1.52,1.81,17.439,8.9,17.439
4634,'4634-41',307304.51,2764335.57,木新抽水站系統,文山區,木新里,保儀路113號,圓形,正常人孔,無,使用,實測,2.88,1.95,1.77,17.082,12,17.082
4634,'4634-12',307479.42,2764339.7,木新抽水站系統,文山區,木新里,保儀路109巷1弄與109巷交口,圓形,正常人孔,無,使用,實測,2,1.82,1.52,17.58,8.99,17.58
4634,'4634-07',307612.2,2764345.82,木新抽水站系統,文山區,木新里,木新路二段60號,圓形,正常人孔,無,使用,實測,3.9,1.8,1.8,19.377,20,19.377
4634,'4634-35',307319.65,2764357.97,木新抽水站系統,文山區,木新里,保儀路(保儀路109巷左前),圓形,正常人孔,無,使用,實測,2.38,2.13,1.57,17.169,12,17.169
4634,'4634-05',307612.17,2764406.35,木新抽水站系統,文山區,木新里,木新路二段與永安街22巷交口,圓形,正常人孔,無,使用,實測,3,2.85,1.71,20.05,20,20.05
4634,'4634-26',307375.03,2764437.63,木新抽水站系統,文山區,木新里,保儀路與永安街22巷交口,圓形,正常人孔,無,使用,實測,2.4,2.21,2.06,17.68,12,17.68
4635,'4635-44',307611.14,2764531.03,木新抽水站系統,文山區,木新里,木新路一段與指南路一段交口,圓形,正常人孔,無,使用,實測,2.9,1.46,1.8,20.522,20,20.522
4533,'4533-F2',307184.514,2763865.351,木新抽水站系統,文山區,樟腳里,木新路二段299巷,,虛人孔,無,使用,實測,1.561,1.7,1.7,18.311,20,18.311
4634,'4634-F7',307653.21,2764159.99,木新抽水站系統,文山區,木新里,木新路二段79巷12弄,,虛人孔,無,使用,實測,1.87,1.7,1.7,18.76,8,18.76
4634,'4634-F11',307653.28,2764177.8,木新抽水站系統,文山區,木新里,木新路二段79巷13弄,,虛人孔,無,使用,實測,0.228,1.25,1.25,18.538,8,18.538
4534,'4534-F12',307072.76,2763982.97,木新抽水站系統,文山區,樟腳里,木新路二段299巷,,虛人孔,無,使用,實測,2.352,1.2,1.2,16.892,20,16.892
4534,'4534-F15',307109.05,2764033.3,木新抽水站系統,文山區,順興里,保儀路,,虛人孔,無,使用,實測,5.595,3.6,3.6,16.895,12,16.895
4634,'4634-F2',307281.04,2764300.65,木新抽水站系統,文山區,木新里,保儀路,,虛人孔,無,使用,實測,4.972,3.7,3.7,17.012,12,17.012
4534,'4534-15',306833.358,2763925.995,木新抽水站系統,文山區,順興里,木新路三段88號,圓形,覆蓋人孔,無,使用,實測,2.499,1.9,2.45,17.039,20,17.239
4534,'4534-12',307070.48,2763988.95,木新抽水站系統,文山區,順興里,木新路三段297號前,圓形,覆蓋人孔,無,使用,實測,2.352,1.9,1.9,16.692,12,16.892
4534,'4534-89',307119.72,2764065.74,木新抽水站系統,文山區,順興里,保儀路173號,圓形,覆蓋人孔,無,使用,實測,5.595,3.6,3.65,16.695,12,16.895
4534,'4534-87',307149.99,2764108.73,木新抽水站系統,文山區,順興里,恆光街2號,圓形,覆蓋人孔,無,使用,實測,5.74,3.6,3.7,16.79,12,16.99
4534,'4534-08',307153.594,2764114.017,木新抽水站系統,文山區,順興里,保儀路與恆光街交口,圓形,覆蓋人孔,無,使用,實測,5.74,3.6,3.7,16.79,12,16.99
4534,'4534-85',307146.68,2764348.49,木新抽水站系統,文山區,忠順里,保儀路119巷(國立台灣戲曲學院旁),圓形,覆蓋人孔,無,使用,實測,5.298,3.6,3.5,16.828,10,17.028
4634,'4634-06',307613.07,2764370.96,木新抽水站系統,文山區,木新里,木新路二段48號,圓形,覆蓋人孔,無,使用,實測,1.597,1.46,1.8,19.177,20,19.377
4634,'4634-34',307335.796,2764390.55,木新抽水站系統,文山區,忠順里,保儀路107號左斜前方,圓形,覆蓋人孔,無,使用,原圖轉繪,0.818,2.92,2.15,17.018,12,17.218
4634,'4634-04',307610.78,2764452.68,木新抽水站系統,文山區,木新里,木新路二段14號(左斜前),圓形,覆蓋人孔,無,使用,實測,3.36,1.45,1.8,21.45,20,21.65
